--------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                            Time             CPU   Iterations UserCounters...
benchmark_osu_latency_MPI_isendirecv/262144/manual_time_cv                        0.50 %          0.45 %            50 bytes=0.00%
benchmark_osu_latency_MPI_isendirecv/2097152/manual_time_mean                      126 us          126 us           50 bytes=4.1943M
benchmark_osu_latency_MPI_isendirecv/2097152/manual_time_median                    126 us          126 us           50 bytes=4.1943M
benchmark_osu_latency_MPI_isendirecv/2097152/manual_time_stddev                  0.438 us        0.433 us           50 bytes=0.0193309
benchmark_osu_latency_MPI_isendirecv/2097152/manual_time_cv                       0.35 %          0.34 %            50 bytes=0.00%
benchmark_osu_latency_MPI_isendirecv/16777216/manual_time_mean                    1196 us         1191 us           50 bytes=33.5544M
benchmark_osu_latency_MPI_isendirecv/16777216/manual_time_median                  1201 us         1196 us           50 bytes=33.5544M
benchmark_osu_latency_MPI_isendirecv/16777216/manual_time_stddev                  13.4 us         13.3 us           50 bytes=0.154647
benchmark_osu_latency_MPI_isendirecv/16777216/manual_time_cv                      1.12 %          1.12 %            50 bytes=0.00%
benchmark_osu_latency_MPI_isendirecv/134217728/manual_time_mean                  13767 us        13702 us           50 bytes=268.435M
benchmark_osu_latency_MPI_isendirecv/134217728/manual_time_median                13768 us        13706 us           50 bytes=268.435M
benchmark_osu_latency_MPI_isendirecv/134217728/manual_time_stddev                 55.2 us         46.3 us           50 bytes=1.23718
benchmark_osu_latency_MPI_isendirecv/134217728/manual_time_cv                     0.40 %          0.34 %            50 bytes=0.00%
benchmark_osu_latency_MPI_isendirecv/268435456/manual_time_mean                  28054 us        27910 us           50 bytes=536.871M
benchmark_osu_latency_MPI_isendirecv/268435456/manual_time_median                28015 us        27891 us           50 bytes=536.871M
benchmark_osu_latency_MPI_isendirecv/268435456/manual_time_stddev                  148 us          122 us           50 bytes=2.47436
benchmark_osu_latency_MPI_isendirecv/268435456/manual_time_cv                     0.53 %          0.44 %            50 bytes=0.00%
benchmark_osu_latency_MPI_sendrecv/1/manual_time_mean                             1.18 us         1.59 us           50 bytes=2
benchmark_osu_latency_MPI_sendrecv/1/manual_time_median                           1.18 us         1.59 us           50 bytes=2
benchmark_osu_latency_MPI_sendrecv/1/manual_time_stddev                          0.005 us        0.004 us           50 bytes=9.2177n
benchmark_osu_latency_MPI_sendrecv/1/manual_time_cv                               0.38 %          0.24 %            50 bytes=0.00%
benchmark_osu_latency_MPI_sendrecv/8/manual_time_mean                             1.17 us         1.57 us           50 bytes=16
benchmark_osu_latency_MPI_sendrecv/8/manual_time_median                           1.17 us         1.57 us           50 bytes=16
benchmark_osu_latency_MPI_sendrecv/8/manual_time_stddev                          0.004 us        0.006 us           50 bytes=73.7416n
benchmark_osu_latency_MPI_sendrecv/8/manual_time_cv                               0.32 %          0.36 %            50 bytes=0.00%
benchmark_osu_latency_MPI_sendrecv/64/manual_time_mean                            1.19 us         1.60 us           50 bytes=128
benchmark_osu_latency_MPI_sendrecv/64/manual_time_median                          1.19 us         1.60 us           50 bytes=128
benchmark_osu_latency_MPI_sendrecv/64/manual_time_stddev                         0.005 us        0.006 us           50 bytes=589.933n
benchmark_osu_latency_MPI_sendrecv/64/manual_time_cv                              0.43 %          0.36 %            50 bytes=0.00%
benchmark_osu_latency_MPI_sendrecv/512/manual_time_mean                           1.22 us         1.63 us           50 bytes=1.024k
benchmark_osu_latency_MPI_sendrecv/512/manual_time_median                         1.22 us         1.63 us           50 bytes=1.024k
benchmark_osu_latency_MPI_sendrecv/512/manual_time_stddev                        0.005 us        0.004 us           50 bytes=4.71946u
benchmark_osu_latency_MPI_sendrecv/512/manual_time_cv                             0.37 %          0.25 %            50 bytes=0.00%
benchmark_osu_latency_MPI_sendrecv/4096/manual_time_mean                          1.35 us         1.74 us           50 bytes=8.192k
benchmark_osu_latency_MPI_sendrecv/4096/manual_time_median                        1.34 us         1.73 us           50 bytes=8.192k
benchmark_osu_latency_MPI_sendrecv/4096/manual_time_stddev                       0.007 us        0.006 us           50 bytes=37.7557u
benchmark_osu_latency_MPI_sendrecv/4096/manual_time_cv                            0.49 %          0.33 %            50 bytes=0.00%
benchmark_osu_latency_MPI_sendrecv/32768/manual_time_mean                         4.68 us         5.83 us           50 bytes=65.536k
